ID_1,name,mean_pm25_2008,mean_pm25_2009,mean_pm25_2010,mean_pm25_2011,mean_pm25_2012,mean_pm25_2013,mean_pm25_2014,mean_pm25_2015,mean_pm25_2016,mean_pm25_2017,mean_pm25_2018,geometry
15,Ward 15 Vanasthalipuram,38.741505164233075,39.703350375716035,38.79280437762166,40.942373193935126,42.329814349390404,42.89169017657289,43.932349129572145,43.28547893954638,43.1624332483477,41.76610445550394,42.085388521465134,"list(list(c(78.5572886, 78.5555559, 78.5531691, 78.5528257, 78.5517529, 78.5489419, 78.5476544, 78.5466539, 78.548656, 78.5510243, 78.5551227, 78.5584272, 78.5642905, 78.5682763, 78.5736823, 78.5747337, 78.5753775, 78.5753173, 78.5632753, 78.5619503, 78.5572886, 17.325204, 17.3278106, 17.3301553, 17.3326338, 17.3357677, 17.3383486, 17.3417282, 17.3422095, 17.3442276, 17.3465216, 17.3436132, 17.3414011, 17.3404743, 17.3384107, 17.3367515, 17.334355, 17.331897, 17.328587, 17.3296438, 17.3251937, 17.325204
)))"
16,Ward 16 Hasthinapuram,38.61098021548051,39.714545495095365,38.79258610034702,40.98368559687816,41.975354606506365,43.10863696675849,44.648820101824526,43.8669643467757,43.94611020279514,42.12698497556995,42.10175968686073,"list(list(c(78.526529, 78.5259979, 78.526352, 78.5283797, 78.5282188, 78.5275858, 78.5273229, 78.5266148, 78.526529, 17.3320098, 17.3321071, 17.3349184, 17.333418, 17.3321071, 17.3320968, 17.3328854, 17.3328906, 17.3320098)), list(c(78.5272639, 78.526132, 78.5247748, 78.525558, 78.5259228, 78.5272639, 17.336598, 17.3360706, 17.3369411, 17.3380984, 17.3371049, 17.336598)), list(c(78.523788, 78.52257, 78.5208964, 78.5193085, 78.5175543, 78.5179996, 78.5216366, 78.519963, 78.5189892, 78.523788, 17.3396952, 
17.3374275, 17.337069, 17.336936, 17.3382161, 17.3397114, 17.3386053, 17.3405511, 17.3413439, 17.3396952)), list(c(78.5185038, 78.5189544, 78.5170232, 78.5171842, 78.5185038, 17.3335255, 17.3317435, 17.3315796, 17.3337713, 17.3335255)), list(c(78.5182463, 78.5127961, 78.5126673, 78.5155909, 78.5156902, 78.5148909, 78.514974, 78.5148989, 78.5181498, 78.5182463, 17.326725, 17.3270527, 17.3303506, 17.3312212, 17.3309498, 17.3302456, 17.330156, 17.3289475, 17.3274317, 17.326725)), list(c(78.5081721, 
78.5056328, 78.5052002, 78.5076571, 78.5081721, 17.3168411, 17.3162476, 17.3186848, 17.3187667, 17.3168411)), list(c(78.4949434, 78.4937096, 78.4936399, 78.4966278, 78.496821, 78.4949434, 17.3174557, 17.3179268, 17.318864, 17.3198217, 17.3169436, 17.3174557)), list(c(78.5466539, 78.5476544, 78.5489419, 78.5517529, 78.5528257, 78.5531691, 78.5555559, 78.5572886, 78.5584474, 78.5579753, 78.5562158, 78.5552072, 78.5543275, 78.5535711, 78.5520101, 78.549478, 78.5423115, 78.5397687, 78.537108, 78.5365823, 
78.5353699, 78.535091, 78.5333207, 78.5334065, 78.533664, 78.5350588, 78.5343614, 78.5354128, 78.5352519, 78.5345867, 78.5373977, 78.5363033, 78.5361904, 78.5361209, 78.5408252, 78.5418689, 78.5427296, 78.5466539, 17.3422095, 17.3417282, 17.3383486, 17.3357677, 17.3326338, 17.3301553, 17.3278106, 17.325204, 17.323304, 17.3225769, 17.3232272, 17.3207025, 17.3208613, 17.3197858, 17.3206513, 17.3169435, 17.32189, 17.322566, 17.3242355, 17.3261712, 17.3259971, 17.3247783, 17.3245018, 17.3259254, 17.3265399, 
17.3268267, 17.3298993, 17.3301553, 17.3328182, 17.3343544, 17.3348255, 17.3366332, 17.3369768, 17.3374909, 17.3379754, 17.3383281, 17.3387691, 17.3422095)))"
17,Ward 17 Champapet,37.77021124860814,38.0219567075278,37.746793476517134,39.39354810518472,39.5469396980485,42.928354057537156,44.58420035036761,43.47588655168613,43.94172131481851,42.56306674360438,42.2895678025763,"list(list(c(78.5189892, 78.5159612, 78.511777, 78.506949, 78.507582, 78.508569, 78.508558, 78.5096956, 78.5100389, 78.5138154, 78.514309, 78.5170555, 78.5166264, 78.516562, 78.5185576, 78.5188365, 78.5262823, 78.5252738, 78.5253597, 78.5337081, 78.5355521, 78.540734, 78.5447842, 78.5466539, 78.5427296, 78.5418689, 78.5408252, 78.5361209, 78.5337496, 78.5280633, 78.523788, 78.5189892, 17.3413439, 17.3423842, 17.3428144, 17.3435517, 17.3441252, 17.347986, 17.3484865, 17.3485493, 17.3507408, 17.3492456, 
17.3509866, 17.3503516, 17.3483035, 17.3465011, 17.3450674, 17.343818, 17.3439204, 17.3446577, 17.3452108, 17.3440418, 17.343777, 17.3430806, 17.34295, 17.3422095, 17.3387691, 17.3383281, 17.3379754, 17.3374909, 17.3371407, 17.3382263, 17.3396952, 17.3413439)))"
18,Ward 18 Lingojiguda,38.303365960824905,38.74898667340909,37.867040046226386,40.285627276048416,41.177038534727025,42.42813523808265,44.38029044762012,43.75119860683834,43.93115507397334,43.57849509667144,43.74713753660407,"list(list(c(78.5540999, 78.5510243, 78.548656, 78.5466539, 78.5447842, 78.540734, 78.5355521, 78.5337081, 78.5253597, 78.5248661, 78.5252095, 78.5265828, 78.5280204, 78.5276127, 78.5281063, 78.5290504, 78.5301662, 78.5308528, 78.5300804, 78.530531, 78.5322476, 78.540659, 78.5420323, 78.5441137, 78.5463187, 78.5466134, 78.5469997, 78.5503578, 78.5506153, 78.5517955, 78.5525465, 78.5540999, 17.3505758, 17.3465216, 17.3442276, 17.3422095, 17.34295, 17.3430806, 17.343777, 17.3440418, 17.3452108, 17.3462246, 
17.3541406, 17.3543455, 17.3517648, 17.3489794, 17.3489384, 17.3501878, 17.3511094, 17.3509456, 17.3529118, 17.3556357, 17.3544069, 17.350454, 17.3530347, 17.3529528, 17.3527467, 17.351642, 17.3510787, 17.3514167, 17.352451, 17.3523998, 17.351007, 17.3505758)))"
19,Ward 19 Saroornagar,36.6622392401983,37.12873691280679,37.52321316751079,39.096021793846404,39.719525966905195,42.74611009219572,43.58618327093243,43.202806831749456,42.93205078286531,39.951375655355534,40.13213127809045,"list(list(c(78.5464096, 78.5456908, 78.5438025, 78.5427082, 78.543824, 78.544414, 78.5463187, 78.5441137, 78.5420323, 78.540659, 78.5322476, 78.530531, 78.5302574, 78.5304559, 78.5326553, 78.5333205, 78.5336101, 78.5341359, 78.53611, 78.5361314, 78.5362923, 78.5382226, 78.5385454, 78.5400662, 78.5403264, 78.5433841, 78.5464096, 17.3726237, 17.3670636, 17.3662854, 17.3652205, 17.3619437, 17.3598855, 17.3527467, 17.3529528, 17.3530347, 17.350454, 17.3544069, 17.3556357, 17.3565727, 17.3587693, 17.3587283, 
17.3605715, 17.3617594, 17.3624352, 17.3618618, 17.3630599, 17.3642067, 17.3681097, 17.3685126, 17.3703071, 17.3704913, 17.3721425, 17.3726237)))"
20,Ward 20 RK Puram,37.19713790551061,38.69692189984995,38.806181932009,41.20527315182805,42.2399144435128,44.74867094088874,46.449205937768454,45.42804223523641,45.21751447440068,41.85939154811109,41.6809350304633,"list(list(c(78.5517955, 78.5506153, 78.5503578, 78.5469997, 78.5466134, 78.5463187, 78.544414, 78.543824, 78.5427082, 78.5438025, 78.5456908, 78.5464096, 78.5491991, 78.5494137, 78.5535872, 78.5552609, 78.5558295, 78.5568595, 78.5572028, 78.5560441, 78.5529542, 78.553834, 78.5517955, 17.3523998, 17.352451, 17.3514167, 17.3510787, 17.351642, 17.3527467, 17.3598855, 17.3619437, 17.3652205, 17.3662854, 17.3670636, 17.3726237, 17.3736374, 17.3721015, 17.3682617, 17.3668384, 17.3658042, 17.3643501, 17.3621075, 
17.3614522, 17.3543455, 17.3528299, 17.3523998)))"
21,Ward 21 Kothapet,36.161063095818726,37.350899144029384,36.35593489605146,38.18435275260397,38.464734277333235,40.91358524611033,43.034241109921965,41.449179339804445,42.02810521596316,40.79851696271171,41.18611710888517,"list(list(c(78.5583186, 78.5570526, 78.5572243, 78.5576749, 78.5557008, 78.5540999, 78.5525465, 78.5517955, 78.553834, 78.5529542, 78.5560441, 78.5572028, 78.5568595, 78.5558295, 78.5552609, 78.5535872, 78.5494137, 78.5491991, 78.5464096, 78.5433841, 78.5403264, 78.5402942, 78.5390496, 78.5382557, 78.5391676, 78.538996, 78.5397148, 78.5403371, 78.5411632, 78.5426438, 78.542912, 78.5431498, 78.5432017, 78.5470641, 78.5489523, 78.5519671, 78.5583186, 17.3831393, 17.3655482, 17.3632749, 17.3597114, 
17.3530552, 17.3505758, 17.351007, 17.3523998, 17.3528299, 17.3543455, 17.3614522, 17.3621075, 17.3643501, 17.3658042, 17.3668384, 17.3682617, 17.3721015, 17.3736374, 17.3726237, 17.3721425, 17.3704913, 17.3712516, 17.3709649, 17.3745487, 17.3745078, 17.3765556, 17.3765966, 17.3763201, 17.3755317, 17.37546, 17.3778867, 17.3826775, 17.3837229, 17.3828117, 17.3810506, 17.3804362, 17.3831393)))"
22,Ward 22 Chaitanyapuri,37.176834934599746,36.661867695131754,36.18067000083952,37.82845142409787,38.9600823168651,40.727743048504685,42.309811190261144,41.168769308779616,41.696884372412526,42.87267636854068,43.332442416052594,"list(list(c(78.5251827, 78.528192, 78.5312176, 78.5348439, 78.5389423, 78.5432017, 78.5431498, 78.542912, 78.5426438, 78.5411632, 78.5403371, 78.5397148, 78.538996, 78.5391676, 78.5382557, 78.5390496, 78.5402942, 78.5403264, 78.5400662, 78.5385454, 78.5382226, 78.5380787, 78.5368609, 78.5329342, 78.5283583, 78.5244906, 78.5247374, 78.5234929, 78.5246247, 78.52485, 78.5251827, 17.3763099, 17.3758287, 17.377344, 17.3793714, 17.3829857, 17.3837229, 17.3826775, 17.3778867, 17.37546, 17.3755317, 17.3763201, 
17.3765966, 17.3765556, 17.3745078, 17.3745487, 17.3709649, 17.3712516, 17.3704913, 17.3703071, 17.3685126, 17.3681097, 17.3681491, 17.368277, 17.3683641, 17.3684716, 17.3685586, 17.3698488, 17.3698284, 17.3743695, 17.3754907, 17.3763099)))"
23,Ward 23 Gaddiannaram,36.84119170394257,35.88852711889553,36.42434877139724,38.10819346510351,38.31873544433079,40.729395722195875,41.62539689794375,41.26452170350882,41.06710993496741,42.93249564993727,42.91406015423367,"list(list(c(78.5221839, 78.5233212, 78.5246516, 78.5239649, 78.5229135, 78.5231442, 78.5244906, 78.5283583, 78.5329342, 78.5368609, 78.5380787, 78.5382226, 78.5362923, 78.5361314, 78.53611, 78.5341359, 78.5336101, 78.5333205, 78.5326553, 78.5304559, 78.5302574, 78.5275913, 78.5245335, 78.5242573, 78.5239649, 78.5229564, 78.5221839, 17.3620256, 17.362128, 17.3652819, 17.3664902, 17.3668179, 17.3685842, 17.3685586, 17.3684716, 17.3683641, 17.368277, 17.3681491, 17.3681097, 17.3642067, 17.3630599, 17.3618618, 
17.3624352, 17.3617594, 17.3605715, 17.3587283, 17.3587693, 17.3565727, 17.3575814, 17.3591174, 17.3594579, 17.3600595, 17.3608992, 17.3620256)))"
24,Ward 24 Saidabad,36.14388906772725,35.95953357365898,36.38147150287751,38.52489931866175,39.678200505905835,41.269319145039,42.79239524683706,42.33944786056079,42.243490284908496,43.38203578293222,43.83950845933903,"list(list(c(78.5039851, 78.5037437, 78.5056615, 78.509996, 78.5104037, 78.512249, 78.5119057, 78.5121847, 78.5136223, 78.514087, 78.5190726, 78.5199416, 78.5213471, 78.5217762, 78.5218835, 78.5221839, 78.5229564, 78.5239649, 78.5242573, 78.5217655, 78.519094, 78.5189224, 78.5158539, 78.5091806, 78.5062784, 78.5054818, 78.5039851, 17.3622867, 17.3630432, 17.3618618, 17.3622919, 17.3653434, 17.3655686, 17.3666131, 17.3684358, 17.3679443, 17.3699787, 17.3688658, 17.3672889, 17.3656096, 17.3638688, 17.3625581, 
17.3620256, 17.3608992, 17.3600595, 17.3594579, 17.3586618, 17.3581139, 17.3577043, 17.357991, 17.3571308, 17.356839, 17.3565126, 17.3622867)))"
